NID,Titre,URL,Organization,Produit,Problème,"Ce que vous devriez faire",Catégorie,"Classe de rappel","Dernière mise à jour",Archivé
77514,"Fibres laser Soltive",https://recalls-rappels.canada.ca/fr/avis-rappel/fibres-laser-soltive,"Instruments médicaux","Fibres laser Soltive",Rendement,,"Produits d’usage personnel et d’usage hospitalier général","Type II",2025-05-28,0
77515,"Rappel de Déveinées et facile à décortiquer en carapace crevettes crues 26/30 de marque Ocean Mama Seafood en raison de 3-amino-2-oxazolidinone",https://recalls-rappels.canada.ca/fr/avis-rappel/rappel-deveinees-et-facile-decortiquer-en-carapace-crevettes-crues-2630-marque-ocean,ACIA,"Déveinées et facile à décortiquer en carapace crevettes crues 26/30","Substance chimique",,"Poisson et fruits de mer","Classe 3",2025-05-28,0
73796,"Numéro de rappel de Transports Canada - 2023309 - FORD",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2023309-ford,TC,"Véhicule utilitaire-sport rappelé par FORD",Moteur,,"Camionnette et fourgonnette - Véhicule utilitaire-sport",,2025-05-27,0
77495,"Ezetimibe: un lot rappelé car certains flacons pourraient contenir des comprimés de périndopril 4 mg",https://recalls-rappels.canada.ca/fr/avis-rappel/ezetimibe-lot-rappele-car-certains-flacons-pourraient-contenir-comprimes-perindopril-4,"Médicaments et produits de santé"," Comprimés d’ézétimibe 10 mg de Sivem","Sécurité des produits","Vérifiez votre flacon de médicaments pour vous assurer qu'il ne contient que des comprimés d'ézétimibe 10&nbsp;mg de Sivem.L'ézétimibe 10&nbsp;mg de Sivem est un comprimé blanc oblong, portant l'inscription&nbsp;«&nbsp;93&nbsp;» gravée sur une face et «&nbsp;A11&nbsp;» sur l'autre.Le périndopril 4&nbsp;mg est un comprimé oblong vert clair tacheté, portant l'inscription&nbsp;«&nbsp;4&nbsp;» gravée sur une face et aucune inscription sur l'autre. Le comprimé est sécable (rainuré) sur les deux bords centraux.Si le flacon contient des comprimés inhabituels ou si vous avez des doutes, rapportez-le immédiatement à votre pharmacie. Votre pharmacien vérifiera les comprimés et vous fournira un produit de remplacement, si nécessaire.Si vous ne pouvez pas rapporter les comprimés à la pharmacie immédiatement, consultez votre pharmacien ou votre médecin pour obtenir des conseils supplémentaires.Consultez immédiatement un médecin si vous présentez des effets secondaires graves (p.&nbsp;ex., des étourdissements, des vertiges ou des évanouissements, ou une réaction allergique grave).Si vous avez des questions au sujet de ce rappel, communiquez avec Sivem Pharmaceuticals en composant le 1-855-757-4836 ou en envoyant un courriel à l'adresse&nbsp;drugsafety@mckesson.ca.Signalez tout&nbsp;effet secondaire&nbsp;ou&nbsp;plainte&nbsp;lié à un produit de santé à Santé Canada.",Médicaments,"Type I",2025-05-27,0
77504,"Chaise haute convertible Gröw de bblüv rappelée en raison d’un risque de coincement  ",https://recalls-rappels.canada.ca/fr/avis-rappel/chaise-haute-convertible-grow-bbluv-rappelee-en-raison-risque-coincement,"Sécurité des produits de consommation","Chaise haute convertible Gröw de bblüv","Risque de coincement","Les consommateurs devraient cesser immédiatement d’utiliser les produits rappelés et contacter Groupe bblüv pour recevoir une pièce de remplacement.Pour obtenir de plus amples renseignements, les consommateurs peuvent communiquer avec le Groupe bblüv Inc. par téléphone au 1-855-808-2636, de 9h à 16h (heure de l'Est), du lundi au vendredi, par courriel&nbsp;à&nbsp;info@bbluvgroup.com, ou consulter le site Web de l’entreprise.Conformément à la Loi canadienne sur la sécurité des produits de consommation, il est interdit de redistribuer, de vendre ou même de donner les produits rappelés au Canada.Santé Canada incite les consommateurs à signaler tout incident touchant la santé ou la sécurité lié à ce produit ou à tout autre produit de consommation ou cosmétique en remplissant le formulaire de rapport d'incident concernant un produit de consommation.Ce rappel est également affiché sur le site du Portail global de l'OCDE sur les rappels de produits, qui présente d’autres renseignements sur les rappels de produit de consommation internationaux.","Articles de maison",,2025-05-27,0
77543,"Rappel de Cubes poulet cuits 1/2 po de marque Olymel en raison de la présence de morceaux d'os",https://recalls-rappels.canada.ca/fr/avis-rappel/rappel-cubes-poulet-cuits-12-po-marque-olymel-en-raison-presence-morceaux-os,ACIA,"Cubes poulet cuits 1/2 po","Matières étrangères",,Transformée,"Classe 3",2025-05-27,0
72574,"Numéro de rappel de Transports Canada - 2022743 - FORD",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2022743-ford,TC,"Véhicule utilitaire-sport rappelé par FORD","Sièges et dispositifs de retenue",,"Véhicule utilitaire-sport",,2025-05-26,0
74960,"Numéro de rappel de Transports Canada - 2024024 - POLARIS",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2024024-polaris,TC,"Motoneige rappelé par POLARIS","Groupe motopropulseur",,Motoneige,,2025-05-26,0
77493,"Cathéter Torcon NB Advantage à embout Beacon",https://recalls-rappels.canada.ca/fr/avis-rappel/catheter-torcon-nb-advantage-embout-beacon,"Instruments médicaux","Cathéter Torcon NB Advantage à embout Beacon",Rendement,,"Matériel cardiovasculaire","Type II",2025-05-26,0
77508,"Numéro de rappel de Transports Canada - 2025271 - POLARIS",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2025271-polaris,TC,"Motoneige rappelé par POLARIS","Groupe motopropulseur",,Motoneige,,2025-05-26,0
77509,"Numéro de rappel de Transports Canada - 2025274 - LAND ROVER",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2025274-land-rover,TC,"Véhicule utilitaire-sport rappelé par LAND ROVER",Suspension,,"Véhicule utilitaire-sport",,2025-05-26,0
77479,"Hochet en bois Wild Wonders rappelé en raison d’un risque d’étouffement  ",https://recalls-rappels.canada.ca/fr/avis-rappel/hochet-en-bois-wild-wonders-rappele-en-raison-risque-etouffement,"Sécurité des produits de consommation","Hochet en bois Wild Wonders","Risque d’étouffement","Les consommateurs devraient cesser immédiatement d’utiliser les produits rappelés, les jeter dans les déchets ménagers ordinaires et contacter Design Home Gift &amp; Paper pour obtenir un remboursement.Pour obtenir de plus amples renseignements, les consommateurs peuvent contacter le service client de Design Home Gift &amp; Paper par téléphone au 1-800-663-9950, 8h00 à 16h00 HNE, du lundi au vendredi, ou par courriel à sales@designhome.ca.Conformément à la Loi canadienne sur la sécurité des produits de consommation, il est interdit de redistribuer, de vendre ou même de donner les produits rappelés au Canada.Santé Canada incite les consommateurs à signaler tout incident touchant la santé ou la sécurité lié à ce produit ou à tout autre produit de consommation ou cosmétique en remplissant le formulaire de rapport d'incident concernant un produit de consommation.Ce rappel est également affiché sur le site du Portail global de l'OCDE sur les rappels de produits, qui présente d’autres renseignements sur les rappels de produit de consommation internationaux.","Jouets et jeux",,2025-05-23,0
77489,"Santé Canada met en garde la population que le foyer de table ZGRMBO vendu sur Amazon.ca peut présenter un risque de jet de flamme et d’incendie  ",https://recalls-rappels.canada.ca/fr/avis-rappel/sante-canada-met-en-garde-population-que-foyer-table-zgrmbo-vendu-sur-amazonca-peut,"Sécurité des produits de consommation","Foyer de table ZGRMBO","Risque d’incendie","Les consommateurs devraient cesser immédiatement d’utiliser le produit affecté et l’éliminer en toute sécurité afin qu’il ne puisse plus être réutilisé. Consultez régulièrement la base de données sur les rappels et les avis de sécurité de Canadiens en santé pour trouver des produits dangereux et prendre des mesures pour éliminer les éléments préoccupants.Santé Canada tient à rappeler les consommateurs de signaler tout incident lié à la santé ou à la sécurité découlant de l'utilisation de ces produits ou d'autres produits de consommation ou de cosmétiques en remplissant le Formulaire à l'intention des consommateurs (Rapport d'incident concernant un produit de consommation ou un produit cosmétique).Liens connexesSanté Canada met en garde la population que les foyers de table FLIKRFIRE peuvent présenter un risque de jet de flamme et d’incendieFoyers personnels de Flikrfire rappelés en raison de l'absence d'étiquettes appropriées et de renseignements sur les dangersSanté Canada met la population en garde contre l’utilisation d’alcool à friction pour alimenter des pots à feu en raison du risque de brûlures gravesSanté Canada met en garde les Canadiens contre les risques pour la santé et la sécurité de certains contenants de combustible versables à base d'alcool et de certains pots à feu qui utilisent des combustibles versablesSécurité des foyers et des pots à feu portables, des chaudrons à fondue et des combustibles liquides: le risque de jet de flammeRestez branché et recevez les plus récents avis et rappels de produits de Santé Canada grâce aux médias sociaux.","Articles de maison",,2025-05-23,0
77492,"Composants BD TexiumMC",https://recalls-rappels.canada.ca/fr/avis-rappel/composants-bd-texiummc,"Instruments médicaux","Composants BD TexiumMC",Rendement,,"Produits d’usage personnel et d’usage hospitalier général","Type II",2025-05-23,0
77496,"Comprimés d’ézétimibe 10 mg de Sivem : un lot rappelé car certains flacons pourraient contenir des comprimés de périndopril 4 mg",https://recalls-rappels.canada.ca/fr/avis-rappel/comprimes-ezetimibe-10-mg-sivem-lot-rappele-car-certains-flacons-pourraient-contenir,"Direction générale des communications et des affaires publiques","Comprimés d’ézétimibe 10 mg de Sivem","Sécurité des produits","Vérifiez votre flacon de médicaments pour vous assurer qu'il ne contient que des comprimés d'ézétimibe 10&nbsp;mg de Sivem.L'ézétimibe 10&nbsp;mg de Sivem est un comprimé blanc oblong, portant l'inscription&nbsp;«&nbsp;93&nbsp;» gravée sur une face et «&nbsp;A11&nbsp;» sur l'autre.Le périndopril 4&nbsp;mg est un comprimé oblong vert clair tacheté, portant l'inscription&nbsp;«&nbsp;4&nbsp;» gravée sur une face et aucune inscription sur l'autre. Le comprimé est sécable (rainuré) sur les deux bords centraux.Si le flacon contient des comprimés inhabituels ou si vous avez des doutes, rapportez-le immédiatement à votre pharmacie. Votre pharmacien vérifiera les comprimés et vous fournira un produit de remplacement, si nécessaire.Si vous ne pouvez pas rapporter les comprimés à la pharmacie immédiatement, consultez votre pharmacien ou votre médecin pour obtenir des conseils supplémentaires.Consultez immédiatement un médecin si vous présentez des effets secondaires graves (p.&nbsp;ex., des étourdissements, des vertiges ou des évanouissements, ou une réaction allergique grave).Si vous avez des questions au sujet de ce rappel, communiquez avec Sivem Pharmaceuticals en composant le 1-855-757-4836 ou en envoyant un courriel à l'adresse drugsafety@mckesson.ca.Signalez tout effet secondaire ou plainte lié à un produit de santé à Santé Canada.Renseignements supplémentaires pour les professionnels de la santé&nbsp;:Les professionnels de la santé, tels que les pharmaciens, doivent vérifier les flacons de comprimés d'ézétimibe 10&nbsp;mg de Sivem avant de les délivrer afin de s'assurer qu'ils ne contiennent pas de comprimés de périndopril 4&nbsp;mg. Signalez tout flacon inhabituel ou tout autre problème à la société et à Santé Canada.",Médicaments,,2025-05-23,0
77497,"Numéro de rappel de Transports Canada - 2025249 - ALTEC INDUSTRIES",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2025249-altec-industries,TC,"Matériel rappelé par ALTEC INDUSTRIES",Accessoires,,Matériel,,2025-05-23,0
77498,"Numéro de rappel de Transports Canada - 2025251 - ALTEC INDUSTRIES",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2025251-altec-industries,TC,"Matériel rappelé par ALTEC INDUSTRIES",Accessoires,,Matériel,,2025-05-23,0
77499,"Numéro de rappel de Transports Canada - 2025254 - FORD",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2025254-ford,TC,"Véhicule utilitaire-sport rappelé par FORD","Feux et instruments",,"Véhicule utilitaire-sport",,2025-05-23,0
77500,"Numéro de rappel de Transports Canada - 2025256 - FORD",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2025256-ford,TC,"Camionnette et fourgonnette rappelé par FORD","Sièges et dispositifs de retenue",,"Camionnette et fourgonnette",,2025-05-23,0
77501,"Numéro de rappel de Transports Canada - 2025258 - FORD",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2025258-ford,TC,"Camionnette et fourgonnette rappelé par FORD",Direction,,"Camionnette et fourgonnette",,2025-05-23,0
77502,"Numéro de rappel de Transports Canada - 2025259 - FORD",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2025259-ford,TC,"Véhicule utilitaire-sport rappelé par FORD",Freins,,"Véhicule utilitaire-sport",,2025-05-23,0
77503,"Numéro de rappel de Transports Canada - 2025273 - FIAT CHRYSLER AUTOMOBILES",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2025273-fiat-chrysler-automobiles,TC,"Camionnette et fourgonnette rappelé par FIAT CHRYSLER AUTOMOBILES","Système visuel",,"Camionnette et fourgonnette",,2025-05-23,0
77239,"Numéro de rappel de Transports Canada - 2025168 - BMW",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2025168-bmw,TC,"Véhicule utilitaire-sport rappelé par BMW","Circuit électrique",,"Voiture - Véhicule utilitaire-sport",,2025-05-22,0
77475,"Planche d'activités Montessori 20 en 1 rappelée en raison d’un risque d’étouffement  ",https://recalls-rappels.canada.ca/fr/avis-rappel/planche-activites-montessori-20-en-1-rappelee-en-raison-risque-etouffement,"Sécurité des produits de consommation","Planche d'activités Montessori 20 en 1  de Wondertoys","Risque d’étouffement","Les consommateurs devraient cesser immédiatement d’utiliser la planche d'activités rappelée et la retourner à Yiwushi Qiqu Wangluo Keji Youxian Gongsi pour un remboursement.Pour obtenir de plus amples renseignements, les consommateurs peuvent communiquer avec Yiwushi Qiqu Wangluo Keji Youxian Gongsi par courriel à jiangqianya@outlook.com. Conformément à la Loi canadienne sur la sécurité des produits de consommation, il est interdit de redistribuer, de vendre ou même de donner les produits rappelés au Canada.Santé Canada incite les consommateurs à signaler tout incident touchant la santé ou la sécurité lié à ce produit ou à tout autre produit de consommation ou cosmétique en remplissant le formulaire de rapport d'incident concernant un produit de consommation.Ce rappel est également affiché sur le site du Portail global de l'OCDE sur les rappels de produits, qui présente d’autres renseignements sur les rappels de produit de consommation internationaux.","Jouets et jeux",,2025-05-22,0
77477,"Lit d’accouchement Affinity 4",https://recalls-rappels.canada.ca/fr/avis-rappel/lit-accouchement-affinity-4,"Instruments médicaux","Lit d’accouchement Affinity 4",Rendement,,"Produits d’usage personnel et d’usage hospitalier général","Type II",2025-05-22,0
77487,"Vidéoduodénoscope EVIS EXERA III",https://recalls-rappels.canada.ca/fr/avis-rappel/videoduodenoscope-evis-exera-iii-0,"Instruments médicaux","Vidéoduodénoscope EVIS EXERA III","Étiquetage et conditionnement (emballage)",,"Matériel de gastroentérologie et d'urologie","Type II",2025-05-22,0
77488,"SolanaMD – test Bordetella Complete",https://recalls-rappels.canada.ca/fr/avis-rappel/solanamd-test-bordetella-complete,"Instruments médicaux","SolanaMD – test Bordetella Complete",Rendement,,"Matériel de microbiologie","Type II",2025-05-22,1
77490,"TARO-GLICLAZIDE MR: peut contenir la présence d'une tache de couleur rose (identifiée comme Candesartan Cilexetil)",https://recalls-rappels.canada.ca/fr/avis-rappel/taro-gliclazide-mr-peut-contenir-presence-tache-couleur-rose-identifiee-comme,"Médicaments et produits de santé","TARO-GLICLAZIDE MR","Sécurité des produits","Vérifiez si votre produit est touché.Consultez votre fournisseur de soins de santé avant de cesser d’utiliser le ou les produits touchés, ou pour toute préoccupation quant à votre santé.Communiquez avec l’entreprise effectuant le rappel si vous avez des questions sur le rappel.Signalez tout&nbsp;effet secondaire&nbsp;lié à un produit de santé à Santé&nbsp;Canada.Signalez toute autre&nbsp;plainte&nbsp;relative à l’innocuité d’un produit de santé à Santé&nbsp;Canada.",Médicaments,"Type II",2025-05-22,0
77491,Ventilateur Newport HT70 Plus,https://recalls-rappels.canada.ca/fr/avis-rappel/ventilateur-newport-ht70-plus,"Instruments médicaux",Ventilateur Newport HT70 Plus,Rendement,,"Matériel d’anesthésiologie","Type I",2025-05-22,0
77474,"DEA Powerheart G5",https://recalls-rappels.canada.ca/fr/avis-rappel/dea-powerheart-g5,"Instruments médicaux","DEA Powerheart G5",Rendement,,"Matériel cardiovasculaire","Type I",2025-05-21,0
77476,"Nettoyeur à ultrasons Triton 36",https://recalls-rappels.canada.ca/fr/avis-rappel/nettoyeur-ultrasons-triton-36,"Instruments médicaux","Nettoyeur à ultrasons Triton 36",Rendement,,"Produits d’usage personnel et d’usage hospitalier général","Type II",2025-05-21,0
77478,"Logiciel client Muse uniquement",https://recalls-rappels.canada.ca/fr/avis-rappel/logiciel-client-muse-uniquement,"Instruments médicaux","Logiciel client Muse uniquement",Rendement,,"Matériel cardiovasculaire","Type II",2025-05-21,0
77480,"Application/serveur Everyware de Muse",https://recalls-rappels.canada.ca/fr/avis-rappel/applicationserveur-everyware-muse,"Instruments médicaux","Application/serveur Everyware de Muse",Rendement,,"Produits d’usage personnel et d’usage hospitalier général","Type II",2025-05-21,0
77364,"Numéro de rappel de Transports Canada - 2025222 - CANADIAN MOTOR IMPORT INC.",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2025222-canadian-motor-import-inc,TC,"Véhicule à usage restreint rappelé par CANADIAN MOTOR IMPORT INC.",Structure,,"Véhicule à usage restreint",,2025-05-20,0
77473,"Ruban arc-en-ciel de Broselow pour les urgences pédiatriques",https://recalls-rappels.canada.ca/fr/avis-rappel/ruban-arc-en-ciel-broselow-pour-urgences-pediatriques,"Instruments médicaux","Ruban arc-en-ciel de Broselow pour les urgences pédiatriques","Étiquetage et conditionnement (emballage)",,"Produits d’usage personnel et d’usage hospitalier général","Type I",2025-05-20,0
77481,"Numéro de rappel de Transports Canada - 2025236 - GOODBABY",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2025236-goodbaby,TC,"Siège d'auto pour enfant rappelé par GOODBABY",Étiquette,,"Siège d'auto pour enfant",,2025-05-20,0
77482,"Numéro de rappel de Transports Canada - 2025237 - GOODBABY",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2025237-goodbaby,TC,"Siège d'auto pour enfant rappelé par GOODBABY",Autres,,"Siège d'auto pour enfant",,2025-05-20,0
77483,"Numéro de rappel de Transports Canada - 2025239 - GOODBABY",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2025239-goodbaby,TC,"Siège d'auto pour enfant rappelé par GOODBABY",Étiquette,,"Siège d'auto pour enfant",,2025-05-20,0
77484,"Numéro de rappel de Transports Canada - 2025244 - VOLKSWAGEN",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2025244-volkswagen,TC,"Véhicule utilitaire-sport rappelé par VOLKSWAGEN",Moteur,,"Véhicule utilitaire-sport",,2025-05-20,0
77485,"Numéro de rappel de Transports Canada - 2025246 - FIAT CHRYSLER AUTOMOBILES",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2025246-fiat-chrysler-automobiles,TC,"Camionnette et fourgonnette rappelé par FIAT CHRYSLER AUTOMOBILES","Feux et instruments",,"Camionnette et fourgonnette",,2025-05-20,0
77486,"Numéro de rappel de Transports Canada - 2025247 - FIAT CHRYSLER AUTOMOBILES",https://recalls-rappels.canada.ca/fr/avis-rappel/numero-rappel-transports-canada-2025247-fiat-chrysler-automobiles,TC,"Camionnette et fourgonnette rappelé par FIAT CHRYSLER AUTOMOBILES","Coussin gonflable",,"Camionnette et fourgonnette",,2025-05-20,0
77494,"Rappel de Jerky de bœuf en dalle de marque Glenwood en raison de chloramphénicol",https://recalls-rappels.canada.ca/fr/avis-rappel/rappel-jerky-boeuf-en-dalle-marque-glenwood-en-raison-chloramphenicol,ACIA,"Jerky de bœuf en dalle",Contamination,,Transformée,"Classe 3",2025-05-20,0
77471,"Rappel de Tahini de marque Al Kanater en raison de la bacterie Salmonella",https://recalls-rappels.canada.ca/fr/avis-rappel/rappel-tahini-marque-al-kanater-en-raison-bacterie-salmonella-1,ACIA,Tahini,Salmonella,"Si vous croyez avoir été malade après avoir consommé un produit visé par un rappel, communiquez avec votre fournisseur de soins de santé.Vérifiez si vous avez des produits visés par un rappel.Ne pas consommer, utiliser, vendre, servir ou distribuer des produits visés par un rappel.Des produits visés par un rappel devraient être jetés ou rapportés au lieu où ils ont été achetés.Les aliments contaminés par la bactérie&nbsp;Salmonella&nbsp;ne présentent pas nécessairement d'altération visible ni d'odeur suspecte, mais peuvent quand même vous rendre malade. Les jeunes enfants, les femmes enceintes, les personnes âgées et les personnes dont le système immunitaire est affaibli peuvent contracter des infections graves et parfois mortelles. Chez les personnes en bonne santé, la salmonellose peut se manifester par des symptômes de courte durée comme la fièvre, des maux de tête, des vomissements, des nausées, des douleurs abdominales et de la diarrhée. La salmonellose peut entraîner des complications à long terme, notamment une forme grave d’arthrite.En savoir plus :Renseignez-vous davantage sur les risques pour la santéAbonnez-vous aux avis de rappel par courriel, suivez-nous dans les médias sociauxVenez voir notre explication détaillée du processus d'enquête sur la salubrité alimentaire et de rappel d'alimentsSignalez un incident lié à la salubrité ou l'étiquetage d'un aliment",Autres,"Classe 2",2025-05-18,0
